user_id,signup_date,age,gender,country,device,os_version,app_version,language,acquisition_channel,subscription_type,last_active_date,churned_30d,sessions_7d,views,likes,avg_watch_time_sec,credits_purchased,credits_spent,episodes_completed,top_show_id,top_show_title,top_show_genre,top_show_launch_date,top_show_episode_count,event_count,recency_days,unique_event_types
00009a42-5cfb-413d-ab26-061f5a244411,2025-02-03 00:00:00+00:00,25,M,Colombia,Android,14,1.11.3,es,tiktok,none,2025-10-05 00:00:00+00:00,0,8,11,0,106,21,19,12,6a8c74e5-e7ea-40e1-a506-40f9155fba35,Código Peligro,Acción,2025-04-02,38,38,52,7
001ea567-461e-48bc-976c-b4c35a8cad45,2024-05-13 00:00:00+00:00,31,M,Venezuela,iOS,17,1.11.4,es,instagram,none,2025-07-09 00:00:00+00:00,1,2,16,2,156,29,29,16,f4002254-6a02-4e6d-964e-35ce7f8b81c6,Destino Cruzado,Drama,2025-02-14,42,36,106,7
00242cc9-92ab-406f-a0b2-7f785623c596,2024-05-13 00:00:00+00:00,38,F,Colombia,Android,12,1.8.2,es,organic,none,2025-04-15 00:00:00+00:00,1,1,7,0,206,21,3,0,6a8c74e5-e7ea-40e1-a506-40f9155fba35,Código Peligro,Acción,2025-04-02,38,30,198,7
00269d38-ce4d-4ab4-87e3-78bf44683c60,2024-08-07 00:00:00+00:00,42,M,Mexico,Android,13,1.14.2,pt,organic,premium,2024-10-12 00:00:00+00:00,1,4,12,0,178,0,0,8,f4002254-6a02-4e6d-964e-35ce7f8b81c6,Destino Cruzado,Drama,2025-02-14,42,30,89,6
002cdaea-2b35-4c0a-83c9-710d036a750c,2024-04-15 00:00:00+00:00,24,F,United States,iOS,17,1.10.3,es,meta_ads,basic,2025-05-22 00:00:00+00:00,1,2,18,2,219,0,0,18,f4002254-6a02-4e6d-964e-35ce7f8b81c6,Destino Cruzado,Drama,2025-02-14,42,36,157,7
003500a5-7fb7-4175-99bc-fc03f0ff0cf6,2024-03-20 00:00:00+00:00,36,M,Colombia,Android,14,1.13.3,es,organic,premium,2025-08-30 00:00:00+00:00,1,1,14,1,27,0,0,11,6c110fa9-2275-49c5-b0da-a635dcc5c65a,Corazones en Llamas,Romance,2025-07-10,25,25,102,7
004786bb-6e4d-49b1-989a-1db1f067ae0b,2024-01-16 00:00:00+00:00,28,M,Spain,Android,14,1.13.1,es,organic,none,2025-09-06 00:00:00+00:00,1,3,15,0,257,8,8,17,98eff27c-e737-46ec-9722-8cc78c7b5b0d,Dulce Vida,Romance,2025-05-15,40,69,52,7
0050fd08-6f9f-40e0-b562-42d0a2ab8005,2025-04-13 00:00:00+00:00,23,F,Mexico,Android,12,1.13.3,es,organic,none,2025-06-25 00:00:00+00:00,1,1,19,1,218,18,11,9,98eff27c-e737-46ec-9722-8cc78c7b5b0d,Dulce Vida,Romance,2025-05-15,40,34,132,7
0053cf9f-8090-48e0-8c1d-a4f6bb01f0a1,2024-10-10 00:00:00+00:00,18,F,Spain,Android,12,1.12.2,es,tiktok,premium,2025-10-09 00:00:00+00:00,0,1,6,1,28,26,26,3,47b511a2-d290-4866-a496-bc76a4d7f721,Sombra de Venganza,Thriller,2025-06-30,28,39,61,7
005bb6b9-1722-4eb6-bffd-9100c5b8107b,2024-03-10 00:00:00+00:00,34,F,Colombia,iOS,15,1.13.4,en,tiktok,none,2025-10-10 00:00:00+00:00,0,0,15,2,156,49,38,15,6c110fa9-2275-49c5-b0da-a635dcc5c65a,Corazones en Llamas,Romance,2025-07-10,25,36,35,7
006d23f9-6d20-4b90-933a-4f22502e1009,2024-02-08 00:00:00+00:00,30,M,United States,Android,12,1.8.4,es,meta_ads,basic,2025-10-07 00:00:00+00:00,0,3,16,2,166,0,0,8,9eff2f7e-04d1-48ba-a1bc-c2f6cc48d5fc,La Bandida que me Amó,Comedia,2025-01-20,30,32,82,7
007f34cd-af6e-421a-b9fa-a885e93c5e9d,2024-06-11 00:00:00+00:00,35,F,Colombia,Android,12,1.9.3,en,organic,none,2025-09-28 00:00:00+00:00,0,4,11,1,75,17,17,4,f4002254-6a02-4e6d-964e-35ce7f8b81c6,Destino Cruzado,Drama,2025-02-14,42,27,73,6
007f6fcf-640a-4658-a1d6-2c32ac2391d2,2024-09-04 00:00:00+00:00,36,F,Mexico,iOS,15,1.10.4,es,tiktok,premium,2025-05-08 00:00:00+00:00,1,0,8,2,32,0,0,9,6c110fa9-2275-49c5-b0da-a635dcc5c65a,Corazones en Llamas,Romance,2025-07-10,25,60,170,7
0087e216-5ecd-4e4c-a83e-750a9629d62b,2024-05-06 00:00:00+00:00,31,F,Colombia,Android,14,1.8.3,es,meta_ads,none,2025-07-16 00:00:00+00:00,1,5,19,2,37,0,0,10,79672f1a-d85e-4721-9ecf-1265b87e9bb4,La Fugitiva,Acción,2025-03-10,35,58,99,7
0096b632-b7de-4773-b28d-6a6a8510509a,2024-05-19 00:00:00+00:00,18,M,Mexico,Android,12,1.10.2,es,meta_ads,basic,2025-10-07 00:00:00+00:00,0,3,12,1,105,0,0,15,f4002254-6a02-4e6d-964e-35ce7f8b81c6,Destino Cruzado,Drama,2025-02-14,42,33,18,7
009ed225-aa45-4fb4-b640-2b96bbf8f9b2,2024-02-09 00:00:00+00:00,13,M,Mexico,iOS,15,1.10.2,es,referral,none,2025-09-30 00:00:00+00:00,0,0,5,0,109,0,0,6,47b511a2-d290-4866-a496-bc76a4d7f721,Sombra de Venganza,Thriller,2025-06-30,28,31,24,7
00bea83d-0273-498f-bb8d-b835f194dd13,2024-01-06 00:00:00+00:00,29,F,Mexico,Android,13,1.9.2,es,referral,none,2025-08-03 00:00:00+00:00,1,1,5,0,109,32,20,4,6c110fa9-2275-49c5-b0da-a635dcc5c65a,Corazones en Llamas,Romance,2025-07-10,25,36,157,7
00cbc7f9-3d1d-4f56-b92f-e6eb8812139e,2024-05-01 00:00:00+00:00,25,F,Mexico,Android,14,1.9.3,en,tiktok,none,2024-05-02 00:00:00+00:00,1,0,2,0,111,0,0,3,98eff27c-e737-46ec-9722-8cc78c7b5b0d,Dulce Vida,Romance,2025-05-15,40,37,60,7
