user_id,proba_churn,pred_churn,threshold_used,model_file,scored_at_utc,signup_date,age,gender,country,device,os_version,app_version,language,acquisition_channel,subscription_type,last_active_date,sessions_7d,views,likes,avg_watch_time_sec,credits_purchased,credits_spent,episodes_completed,top_show_id,top_show_title,top_show_genre,top_show_launch_date,top_show_episode_count,bucket,churn_percentile,risk_segment
00009a42-5cfb-413d-ab26-061f5a244411,0.9999999897966176,1,0.070787230849981,churn_model_logreg.pkl,2025-10-27T11:24:08,2025-02-03 00:00:00+00:00,25,M,Colombia,Android,14,1.11.3,es,tiktok,none,2025-10-05 00:00:00+00:00,8,11,0,106,21,19,12,6a8c74e5-e7ea-40e1-a506-40f9155fba35,Código Peligro,Acción,2025-04-02,38,"(0.9, 1.0]",42.0,Medium Risk
001ea567-461e-48bc-976c-b4c35a8cad45,1.0,1,0.070787230849981,churn_model_logreg.pkl,2025-10-27T11:24:08,2024-05-13 00:00:00+00:00,31,M,Venezuela,iOS,17,1.11.4,es,instagram,none,2025-07-09 00:00:00+00:00,2,16,2,156,29,29,16,f4002254-6a02-4e6d-964e-35ce7f8b81c6,Destino Cruzado,Drama,2025-02-14,42,"(0.9, 1.0]",89.67,High Risk
00242cc9-92ab-406f-a0b2-7f785623c596,1.0,1,0.070787230849981,churn_model_logreg.pkl,2025-10-27T11:24:08,2024-05-13 00:00:00+00:00,38,F,Colombia,Android,12,1.8.2,es,organic,none,2025-04-15 00:00:00+00:00,1,7,0,206,21,3,0,6a8c74e5-e7ea-40e1-a506-40f9155fba35,Código Peligro,Acción,2025-04-02,38,"(0.9, 1.0]",89.67,High Risk
00269d38-ce4d-4ab4-87e3-78bf44683c60,0.9999999999999452,1,0.070787230849981,churn_model_logreg.pkl,2025-10-27T11:24:08,2024-08-07 00:00:00+00:00,42,M,Mexico,Android,13,1.14.2,pt,organic,premium,2024-10-12 00:00:00+00:00,4,12,0,178,0,0,8,f4002254-6a02-4e6d-964e-35ce7f8b81c6,Destino Cruzado,Drama,2025-02-14,42,"(0.9, 1.0]",69.76,Medium Risk
002cdaea-2b35-4c0a-83c9-710d036a750c,1.0,1,0.070787230849981,churn_model_logreg.pkl,2025-10-27T11:24:08,2024-04-15 00:00:00+00:00,24,F,United States,iOS,17,1.10.3,es,meta_ads,basic,2025-05-22 00:00:00+00:00,2,18,2,219,0,0,18,f4002254-6a02-4e6d-964e-35ce7f8b81c6,Destino Cruzado,Drama,2025-02-14,42,"(0.9, 1.0]",89.67,High Risk
003500a5-7fb7-4175-99bc-fc03f0ff0cf6,0.999999999999797,1,0.070787230849981,churn_model_logreg.pkl,2025-10-27T11:24:08,2024-03-20 00:00:00+00:00,36,M,Colombia,Android,14,1.13.3,es,organic,premium,2025-08-30 00:00:00+00:00,1,14,1,27,0,0,11,6c110fa9-2275-49c5-b0da-a635dcc5c65a,Corazones en Llamas,Romance,2025-07-10,25,"(0.9, 1.0]",67.17,Medium Risk
004786bb-6e4d-49b1-989a-1db1f067ae0b,0.9999999997869652,1,0.070787230849981,churn_model_logreg.pkl,2025-10-27T11:24:08,2024-01-16 00:00:00+00:00,28,M,Spain,Android,14,1.13.1,es,organic,none,2025-09-06 00:00:00+00:00,3,15,0,257,8,8,17,98eff27c-e737-46ec-9722-8cc78c7b5b0d,Dulce Vida,Romance,2025-05-15,40,"(0.9, 1.0]",52.019999999999996,Medium Risk
0050fd08-6f9f-40e0-b562-42d0a2ab8005,1.0,1,0.070787230849981,churn_model_logreg.pkl,2025-10-27T11:24:08,2025-04-13 00:00:00+00:00,23,F,Mexico,Android,12,1.13.3,es,organic,none,2025-06-25 00:00:00+00:00,1,19,1,218,18,11,9,98eff27c-e737-46ec-9722-8cc78c7b5b0d,Dulce Vida,Romance,2025-05-15,40,"(0.9, 1.0]",89.67,High Risk
0053cf9f-8090-48e0-8c1d-a4f6bb01f0a1,0.999999990231244,1,0.070787230849981,churn_model_logreg.pkl,2025-10-27T11:24:08,2024-10-10 00:00:00+00:00,18,F,Spain,Android,12,1.12.2,es,tiktok,premium,2025-10-09 00:00:00+00:00,1,6,1,28,26,26,3,47b511a2-d290-4866-a496-bc76a4d7f721,Sombra de Venganza,Thriller,2025-06-30,28,"(0.9, 1.0]",42.22,Medium Risk
005bb6b9-1722-4eb6-bffd-9100c5b8107b,0.9999998818877108,1,0.070787230849981,churn_model_logreg.pkl,2025-10-27T11:24:08,2024-03-10 00:00:00+00:00,34,F,Colombia,iOS,15,1.13.4,en,tiktok,none,2025-10-10 00:00:00+00:00,0,15,2,156,49,38,15,6c110fa9-2275-49c5-b0da-a635dcc5c65a,Corazones en Llamas,Romance,2025-07-10,25,"(0.9, 1.0]",34.339999999999996,Low Risk
