feature,importance
recency_days,0.08856122292133488
avg_watch_time_sec,0.04125162816392633
age,0.0376061066912905
event_count,0.03622159056372523
views,0.03555637478346548
episodes_completed,0.035037111174009275
credits_spent,0.03273960396642205
credits_purchased,0.03231414190172298
sessions_7d,0.026007973787781035
os_version,0.022100814129490033
likes,0.021602743293525725
top_show_episode_count,0.01564170980336557
acquisition_channel_organic,0.00995556430706296
gender_M,0.009557118565061602
subscription_type_none,0.008956844357957069
country_Mexico,0.008685485643764979
country_Colombia,0.00844266326265135
device_iOS,0.007954991376206587
acquisition_channel_tiktok,0.0069745415249381415
language_es,0.006716961882564916
acquisition_channel_instagram,0.006456645220540184
country_United States,0.006030538249987641
acquisition_channel_meta_ads,0.005800240592630797
country_Venezuela,0.005435860324031518
country_Spain,0.00531933599683989
subscription_type_premium,0.005170604967905841
top_show_genre_Romance,0.0049412084945853925
unique_event_types,0.004536659877578543
signup_date_2025-01-15 00:00:00+00:00,0.004202430063583749
app_version_1.10.1,0.003987262860340769
top_show_genre_Drama,0.003838847502729809
signup_date_2025-06-02 00:00:00+00:00,0.0038294848697463537
signup_date_2025-10-11 00:00:00+00:00,0.0038217792896786617
app_version_1.12.3,0.0034924574274232158
country_Peru,0.003429971374781656
app_version_1.12.1,0.0034087017782825856
top_show_launch_date_2025-03-10,0.0033828693471515225
acquisition_channel_referral,0.003377376187711692
top_show_title_Código Peligro,0.003367558168983857
top_show_launch_date_2025-05-15,0.003351077854236778
top_show_launch_date_2025-07-10,0.0033344357389621447
top_show_launch_date_2025-04-02,0.0032913303557264672
top_show_title_Dulce Vida,0.003244644941265326
top_show_id_6c110fa9-2275-49c5-b0da-a635dcc5c65a,0.0032060957178382853
top_show_id_bf2189f7-c685-43bd-86d2-2112d093d224,0.0031824862360416684
country_Chile,0.0031819451959646822
app_version_1.8.1,0.003166398210627053
top_show_title_La Fugitiva,0.003159030539278496
top_show_id_47b511a2-d290-4866-a496-bc76a4d7f721,0.0031534375850900236
app_version_1.9.3,0.003148421945131846
top_show_title_Corazones en Llamas,0.0031333918497279374
top_show_id_98eff27c-e737-46ec-9722-8cc78c7b5b0d,0.0031316569966868255
app_version_1.11.4,0.003128411309561011
top_show_id_79672f1a-d85e-4721-9ecf-1265b87e9bb4,0.0030924283735794655
top_show_title_Sombra de Venganza,0.0030874552283778373
app_version_1.14.0,0.0030843290290524274
top_show_id_6a8c74e5-e7ea-40e1-a506-40f9155fba35,0.003064976546825832
app_version_1.11.3,0.0030646644556858883
app_version_1.13.4,0.0030588278938416826
top_show_launch_date_2025-06-30,0.0030579946885359965
app_version_1.14.1,0.0029892646594890083
top_show_title_Pasión a Domicilio,0.0029301114458385137
app_version_1.12.0,0.002929646533066151
top_show_launch_date_2024-11-05,0.002903918625027602
top_show_title_La Bandida que me Amó,0.0028778340079682243
top_show_genre_Thriller,0.002852552836695973
app_version_1.14.2,0.002811622544624368
top_show_genre_Comedia,0.0027975023868393113
top_show_launch_date_2025-02-14,0.0027905775330775047
app_version_1.9.4,0.002789400839941217
top_show_id_f4002254-6a02-4e6d-964e-35ce7f8b81c6,0.0027736582473947375
